George Alagiah reveals his cancer has spread,"George Alagiah has revealed that his bowel cancer has spread to his lungs.The 64-year-old BBC newsreader and journalist  told The Times newspaper he was given the news by doctors in April, but only told his editor.However, he added that his condition is not at a ""chronic"" or ""terminal"" stage.Alagiah was first diagnosed with bowel cancer in 2014, and announced in 2017 that the disease had returned. It has now spread to his lungs, liver and lymph nodes, he said.""My doctors have never used the word 'chronic' or 'cure' about my cancer,"" he said.""They've never used the word 'terminal' either. I've always said to my oncologist, 'Tell me when I need to sort my affairs out', and he's not told me that, but what he did tell me is that the cancer is now in a third organ. It is in my lungs.""He added: ""I said to my doctor, 'You're going to have to do the worrying for me.' I don't want to fill my mind with worry. I just know that he's a clever guy, doing everything he can.""As a result of the cancer spreading, Alagiah said his chemotherapy has increased. In late March, the BBC newsreader revealed he had also contracted a mild case of coronavirus, but felt that dealing with cancer had helped him to get through it.""In some ways, I think that those of us living with cancer are stronger because we kind of know what it is like to go into something where the outcomes are uncertain,"" he told his BBC News colleague Sophie Raworth, at the time.Last month, his debut novel The Burning Land, about corruption and homicide in South Africa, was shortlisted for a Society of Authors award.",11 June 2020,entertainment
Stormzy pledges £10m over 10 years to fighting racial inequality,"Stormzy has pledged £10 million to UK organisations, charities and movements tackling racial inequality, justice reform and black empowerment.The grime star said he will make his donation over the next 10 years.""We have to fight against the odds of a racist system stacked against us and designed for us to fail from before we are even born,"" he said.He has also funded black British students at Cambridge University.Stormzy said he was making his £10m donation to fight racial inequality because ""the uncomfortable truth that our country continuously fails to recognise and admit, is that black people in the UK have been at a constant disadvantage in every aspect of life - simply due to the colour of our skin.""I'm lucky enough to be in the position I'm in and I've heard people often dismiss the idea of racism existing in Britain by saying 'If the country's so racist how have you become a success?!' and I reject that with this: I am not the UK's shining example of what supposedly happens when a black person works hard.""There are millions of us. We are not far and few. We have to fight against the odds of a racist system stacked against us and designed for us to fail from before we are even born.""Black people have been playing on an uneven field for far too long and this pledge is a continuation in the fight to finally try and even it."" In 2018, the London-born grime superstar beat Ed Sheeran to the main prizes in a surprise result at the Brit Awards. He closed the show by criticising the then-prime minster Theresa May's handling of the Grenfell tragedy.Later that year he announced the Stormzy Scholarship would pay tuition fees plus a maintenance grant for up to four years of an undergraduate Cambridge course for two students in 2018 and two in 2019.In 2018 he also announced a publishing deal with Penguin to help young writers become published authors. Known as #Merky Books, his imprint is publishing two to three books a year, starting with Stormzy's autobiography Rise Up.",11 June 2020,entertainment
King of Staten Island: 'There's comedy in the most difficult situations',"Filmmaker Judd Apatow has never been afraid to poke fun at serious subjects.In Knocked-Up he found the humour in an unwanted pregnancy from a one-night stand. In This is 40 he made us laugh about a couple going through a midlife crisis. And in 40-year-old Virgin he addressed... well, you know.For his latest project, The King of Staten Island, the director has joined forces with US comedy star Pete Davidson to tell the tale of the effects of the latter's own personal 9/11 tragedy.Aged seven, Davidson lost his father Scott, who died while working as a fire fighter helping to deal with the aftermath of the plane attacks on New York City in 2001. His dad was one of 2,977 people to lose their lives.""I always think that there's comedy in the most difficult situations,"" says Apatow, across a three-way virtual film junket.""That's why we like Dr Strangelove [Stanley Kubrik and Peter Sellers' dark comedy about nuclear war]. You can't have a more difficult situation than that. So that's the lens that I've always seen everything through.""I think as a kid, I felt a lot of hostility, I didn't feel like the world was fair. But I loved comedy films and comedians and I loved that they mocked how the world worked, and they helped me try to figure it out.""So I don't think anything is off limits, if your heart is in the right place you really can explore anything.""In the film, Davidson plays a ""75% true"" version of himself - a directionless grief-stricken 20-something stoner named Scott, who has behavioural issues, and lives with his mum and sister in the least fashionable of the five boroughs.He agrees it's all a rich vein of material.""I had similar experiences growing up as Judd, where I didn't think the world was fair and I had people like Adam Sandler and Jim Carey and Eddie Murphy and Bill Burr to point those things out to me and make it humorous,"" he says.Burr, as it happens, was able to help out Davidson directly, by playing the new love interest for Scott's widowed mother Margie; played by Marisa Tomei. As if having a new man in the house isn't problematic enough, Burr's character Ray just happens to be another fireman, and of course, comedy ensues.What initially began as ""90 pages of toilet humour,"" written by Davidson and his writing buddy Dave Cyrus, was, with Apatow's help, turned into a ""beautiful script"", full of ""emotion and range"".As well as being a ""love letter"" to his mum, Davidson, who also has an executive producer credit, hopes the feature will allow him to draw a line under many of the mental health issues that have plagued him, very publicly, for years.In December 2018, the police checked in on the at-times controversial SNL breakout stand-up star after he alarmed fans by posting on social media that he didn't ""want to be on this earth anymore"", not long after his high-profile breakup from ex-fiance Ariana Grande.""I had a lot of prior issues and a lot of stuff that I was dealing with personally that I wanted to bring to the forefront so that I could not only make a movie but also just grow as a person,"" says Davidson, who has borderline personality disorder, as well as Crohn's Disease.""What I wanted to do was maybe after we did this I could put that part of my life behind me and, not forget it, but move forward and have a new outlook on life.""Apatow believes the lead character, who daydreams about one day running a tattoo restaurant, is a fair reflection of what Pete's life might be like now if he hadn't found his comedy calling.The pair first worked together on another Apatow film - 2015's Trainwreck, and he describes Davidson as ""a funny, great, fascinating person"".That particular film gave another comic actor and writer, Amy Schumer, her big movie break, and other stars including Steve Carell, Seth Rogen, Jonah Hill and Kristen Wiig have all benefitted similarly from his direction early on.Now, with no cinematic release, due to the Covid-19 virus shutting theatres, and against the backdrop of mass Black Lives Matter protests, following the death of George Floyd, Davidson admits it's ""an odd time to put something out"".""It's nice to put something positive into the world, so I hope people enjoy it,"" he says.Making movies, Apatow stresses, is ""one of the hardest professions to make safe"", as they are ""all about being close to each other, touching each other, and being in very small spaces"".The director also hopes the protests, for people who ""were ignored for a very long time"" ultimately ""lead to meaningful change,"" and he urges people to vote for it in the US elections in November.""I just hope that people are kinder to each other in the future,"" adds Davidson.The thing they both miss most about the old pre-coronavirus world is the ability to simply hang out with friends at comedy clubs, where Apatow also began his career, as a stand-up. The 52-year-old jokes they'll both mark their film's online release by simultaneously pressing play on iPads from their own respective beds!The King of Staten Island is a film about trauma, loss, and the healing qualities of opening your heart again to love and laughter.What might Davidson's dad have made of it?""I think if my dad was around he would get a kick out of it,"" says the leading man. ""He would be like, 'holy crap, dude, that's crazy!'""My dad was a huge comedy fan, so I think he would just be thrilled"".As well as being there in spirit, the real Scott is made flesh on-screen not only by his son, but also by his own father Stephen, who makes a scene-stealing cameo as Grandpa. Apatow says: ""The truth is Pete, we never talked about it... your grandfather actually would get called, you can see him as a regular on Seinfeld. He actually could have been that guy"".""Oh yeah, he'll get some work out of this,"" nods his rather more famous grandson. For now, at least.The King of Staten Island is out now on various platforms now",12 June 2020,entertainment
Pete Davidson speaks out for first time on Ariana split,"Pete Davidson has spoken out for the first time since his split with Ariana Grande.The 24-year-old SNL comedian jokingly asked if there was ""anybody looking for a roommate?"" at a benefit gig.He was doing stand-up alongside Judd Apatow at a benefit gig for the Democrats in LA.This is the first time Davidson has publicly acknowledged his split from the singer.The pair first got together in May and became engaged shortly after.They moved into 25-year-old Ariana's apartment in New York and spent most of the summer together, but it was not meant to be.US sources reported last week that the pair had agreed ""it was not the right time for their relationship to take off"". Davidson's stand up set followed on from Judd Apatow at the event, joking ""who wants to follow that?"".He added: ""Am I not going through enough that I have to follow that?!""He then made some more jokes about the break up, commenting: ""Well, as you can tell, I don't want to be here. There's a lot going on. Anybody have any open rooms? Anybody looking for a roommate?""Whilst Davidson didn't address what had happened to Ariana's engagement ring or the pair's pet pig, Piggie Smalls, he did joke about all the tattoos he got during his five month relationship.""I've been covering a bunch of tattoos, that's fun. I'm 0-for-2 in the tattoo department,"" he joked. ""Yeah, I'm afraid to get my mom tattooed on me because she'd leave"". ",22 October 2018,entertainment
"This is 40, according to Judd Apatow","Producer, writer and director Judd Apatow, described as Hollywood's current king of comedy, hired his entire immediate family for his latest film, This Is 40.Many, if not most, people would shy away from bringing their kids to work. Apatow isn't necessarily an exception to the rule.""I think the whole idea of making a movie like this is a little insane,"" he concedes. ""There's a reason why people's families don't star in their movies, there's something risky about it personally.""The 45-year-old has worked alongside his wife, Leslie Mann, and their daughters Maude, 13, and Iris, 8, before, but he admits his work is getting ""more personal"".""When you know people intimately you can get to more interesting places. It's much easier to access people's truth when you know them well,"" he says.This Is 40 is Apatow's first sequel - a follow-up to the 2007 hit Knocked Up. Paul Rudd and Mann reprise their roles as Pete and Debbie, who were supporting characters in the first film. This time, their marriage takes centre stage as they approach their 40th birthdays.Debbie is juggling family life with running a business, where one of her employees is suspected of stealing from her. Meanwhile, she is attempting to build bridges with her father, her husband's record label is failing, and there are a number of convincing clashes with her real-life, and on-screen, eldest daughter.So, was it stressful to play out all of those issues as a family?""My kids are funny and we all get along,"" says Apatow. ""We're a big gang and we like each other so for them it's just play.""They don't feel any stress about work because they're not actually trying to be actresses. It's just some amusing anomaly.""The film was shot down the street from Apatow's home and he admits parts of the story echo his own family life, especially his children's sibling rivalry.""It really does capture the way they interact and that makes me laugh. They're brutal on each other but it is really funny to watch them spar all day long,"" he says. ""When they look at each other, you can tell they're really mad at each other and they believe the positions they are stating when they fight in the movie.""But the film has been a form of family therapy.""Making the movie has made my kids understand each other more and they've gotten along a lot better as a result of having to play out all of these issues on film.""The director says about a third of the scenes are based on experience - but his wife maintains there are big differences between their home life and the story.""Some of it is inspired by things that we have gone through as a married couple or as parents, but by the time it winds up on film it is something completely different,"" says Mann.The actress doesn't get a writing credit on the movie, but Apatow says she was deeply involved in the writing.""I'll tell her my idea for the movie and some scene ideas and then she'll pitch me ideas,"" he says.""She's not afraid to be vulnerable. She pushes me to go further.""Apatow's approach is collaborative.  He started out writing jokes for Jim Carey and Rosanne Barr and has been involved in developing a string of hits including Bridesmaids and Anchorman.""My dream was to be a stand up comedian, but at some point I realised that I was better at writing for people than performing myself,"" he says.""It took me about 10 years to slowly discover my own sensibility and that's when I started directing.""This is 40 is Apatow's fourth turn at feature film directing, following The 40 Year Old Virgin, Knocked Up and Funny People.""I didn't consciously think I was having some kind of mid-life meltdown, but I have made two movies with 40 in the title so that must mean something,"" he laughs.His own age anxieties are not the only fuel for Apatow's distinct brand of comedy.  He has also made a success out of fostering comedy actors and writers, often at the beginning of their careers.""As a producer, there are comedy actors and actresses that I take to and I want to help them get their visions on the screen.""So when I meet someone like Lena Dunham [Girls] or Kirsten Wiig [Bridesmaids] it's about trying to understand what they want to do and trying to figure out how to help them get there.""That's really fun for me, especially when people are doing their first starring roles. They have so much energy and they're so excited. It's a great moment.""Apatow's latest collaboration helped writer, director and star Dunham launch her own successful HBO series, Girls.Dunham ""is very honest,"" he says. ""She wants to talk about her life and how she sees the world. She's not afraid of people's reaction to it, she's not obsessed with likeability.  ""She just cares about expressing herself and that inspires me to go all the way, to not hold back and not censor myself.""If This is 40 is an uncensored glimpse into Apatow's mid-life, what should we expect to see as he gets older?""I am sure I will do my funny version of Amour at some point,"" he says.This is 40 is in UK cinemas on 14 February.",13 February 2013,entertainment
Pete Davidson speaks out for first time on Ariana split,"Pete Davidson has spoken out for the first time since his split with Ariana Grande.The 24-year-old SNL comedian jokingly asked if there was ""anybody looking for a roommate?"" at a benefit gig.He was doing stand-up alongside Judd Apatow at a benefit gig for the Democrats in LA.This is the first time Davidson has publicly acknowledged his split from the singer.The pair first got together in May and became engaged shortly after.They moved into 25-year-old Ariana's apartment in New York and spent most of the summer together, but it was not meant to be.US sources reported last week that the pair had agreed ""it was not the right time for their relationship to take off"". Davidson's stand up set followed on from Judd Apatow at the event, joking ""who wants to follow that?"".He added: ""Am I not going through enough that I have to follow that?!""He then made some more jokes about the break up, commenting: ""Well, as you can tell, I don't want to be here. There's a lot going on. Anybody have any open rooms? Anybody looking for a roommate?""Whilst Davidson didn't address what had happened to Ariana's engagement ring or the pair's pet pig, Piggie Smalls, he did joke about all the tattoos he got during his five month relationship.""I've been covering a bunch of tattoos, that's fun. I'm 0-for-2 in the tattoo department,"" he joked. ""Yeah, I'm afraid to get my mom tattooed on me because she'd leave"". ",22 October 2018,entertainment
"This is 40, according to Judd Apatow","Producer, writer and director Judd Apatow, described as Hollywood's current king of comedy, hired his entire immediate family for his latest film, This Is 40.Many, if not most, people would shy away from bringing their kids to work. Apatow isn't necessarily an exception to the rule.""I think the whole idea of making a movie like this is a little insane,"" he concedes. ""There's a reason why people's families don't star in their movies, there's something risky about it personally.""The 45-year-old has worked alongside his wife, Leslie Mann, and their daughters Maude, 13, and Iris, 8, before, but he admits his work is getting ""more personal"".""When you know people intimately you can get to more interesting places. It's much easier to access people's truth when you know them well,"" he says.This Is 40 is Apatow's first sequel - a follow-up to the 2007 hit Knocked Up. Paul Rudd and Mann reprise their roles as Pete and Debbie, who were supporting characters in the first film. This time, their marriage takes centre stage as they approach their 40th birthdays.Debbie is juggling family life with running a business, where one of her employees is suspected of stealing from her. Meanwhile, she is attempting to build bridges with her father, her husband's record label is failing, and there are a number of convincing clashes with her real-life, and on-screen, eldest daughter.So, was it stressful to play out all of those issues as a family?""My kids are funny and we all get along,"" says Apatow. ""We're a big gang and we like each other so for them it's just play.""They don't feel any stress about work because they're not actually trying to be actresses. It's just some amusing anomaly.""The film was shot down the street from Apatow's home and he admits parts of the story echo his own family life, especially his children's sibling rivalry.""It really does capture the way they interact and that makes me laugh. They're brutal on each other but it is really funny to watch them spar all day long,"" he says. ""When they look at each other, you can tell they're really mad at each other and they believe the positions they are stating when they fight in the movie.""But the film has been a form of family therapy.""Making the movie has made my kids understand each other more and they've gotten along a lot better as a result of having to play out all of these issues on film.""The director says about a third of the scenes are based on experience - but his wife maintains there are big differences between their home life and the story.""Some of it is inspired by things that we have gone through as a married couple or as parents, but by the time it winds up on film it is something completely different,"" says Mann.The actress doesn't get a writing credit on the movie, but Apatow says she was deeply involved in the writing.""I'll tell her my idea for the movie and some scene ideas and then she'll pitch me ideas,"" he says.""She's not afraid to be vulnerable. She pushes me to go further.""Apatow's approach is collaborative.  He started out writing jokes for Jim Carey and Rosanne Barr and has been involved in developing a string of hits including Bridesmaids and Anchorman.""My dream was to be a stand up comedian, but at some point I realised that I was better at writing for people than performing myself,"" he says.""It took me about 10 years to slowly discover my own sensibility and that's when I started directing.""This is 40 is Apatow's fourth turn at feature film directing, following The 40 Year Old Virgin, Knocked Up and Funny People.""I didn't consciously think I was having some kind of mid-life meltdown, but I have made two movies with 40 in the title so that must mean something,"" he laughs.His own age anxieties are not the only fuel for Apatow's distinct brand of comedy.  He has also made a success out of fostering comedy actors and writers, often at the beginning of their careers.""As a producer, there are comedy actors and actresses that I take to and I want to help them get their visions on the screen.""So when I meet someone like Lena Dunham [Girls] or Kirsten Wiig [Bridesmaids] it's about trying to understand what they want to do and trying to figure out how to help them get there.""That's really fun for me, especially when people are doing their first starring roles. They have so much energy and they're so excited. It's a great moment.""Apatow's latest collaboration helped writer, director and star Dunham launch her own successful HBO series, Girls.Dunham ""is very honest,"" he says. ""She wants to talk about her life and how she sees the world. She's not afraid of people's reaction to it, she's not obsessed with likeability.  ""She just cares about expressing herself and that inspires me to go all the way, to not hold back and not censor myself.""If This is 40 is an uncensored glimpse into Apatow's mid-life, what should we expect to see as he gets older?""I am sure I will do my funny version of Amour at some point,"" he says.This is 40 is in UK cinemas on 14 February.",13 February 2013,entertainment
Lady Antebellum: US band change name to Lady A over slave-era links,"Chart-topping US pop group Lady Antebellum have changed their name to Lady A because Antebellum has connotations with the slavery era.The Nashville trio have won five Grammys and had seven US top 10 albums, including three number ones.The word antebellum is used to refer to the period and architecture in the US South before the Civil War.They say they took the name from the architectural style, but are ""deeply sorry for the hurt this has caused"".In a statement on Twitter, they said their eyes had been opened to ""the injustices, inequality and biases black women and men have always faced"" and ""blindspots we didn't even know existed"".Dear fans... pic.twitter.com/7JlcH2NMl6End of Twitter post  by @ladyaThey originally took their name from the antebellum style of home after taking their first band photos in front of one such house almost 14 years ago, they said.""As musicians, it reminded us of all the music born in the South that influenced us,"" they wrote.""But we are regretful and embarrassed to say that we did not take into account the associations that weigh down this word referring to the period of history before the Civil War, which includes slavery.""We are deeply sorry for the hurt this has caused and for anyone who has felt unsafe, unseen or unvalued. Causing pain was never our hearts' intention, but it doesn't change the fact that indeed, it did just that."" The group are best known for their hit Need You Now, which reached number two in the US, and the top 20 in the UK, in 2010.They said they made the decision after ""personal reflection, band discussion, prayer and many honest conversations with some of our closest black friends and colleagues"".They added: ""We can make no excuse for our lateness to this realisation. What we can do is acknowledge it, turn from it and take action.""Their move comes after British record label One Little Indian, which has released music by Bjork, Sigur Ros and Paul McCartney's side-project The Fireman, changed its name to One Little Independent.Founder Derek Birkett said he'd made the decision after a fan explained why the name - which uses an outdated term for the indigenous people of the Americas - was ""offensive"".""The last few weeks have been a monumental learning curve,"" he wrote in a statement. ""Following the receipt of an eye-opening letter from a Crass fan that detailed precisely why the logo and label name are offensive, as well as the violent history of the terminology, I felt equally appalled and grateful to them for making me understand what must be changed.""He went on to explain that the label had been founded in the late 1970s, when his friends were inspired by the ""philosophies of the Indigenous People of the Americas"".""I was naive enough at the time of founding my label to think that the name and logo was reflective of my respect and appreciation of the culture,"" he said. ""I recognise now that both contribute to racism and should have been addressed a long, long time ago.""The name changes come as the music industry seeks to address its complicated history with race, in the wake of George Floyd's death and Black Lives Matter protests around the world.The term ""urban music"" has been scrapped by Republic Records, which is home to Drake and Ariana Grande, while the Grammys have announced they will stop using ""urban"" to describe music of black origin in their awards categories.",11 June 2020,entertainment
Nigel Farage leaves radio station LBC,"Nigel Farage is to leave his talk show on LBC radio with ""immediate effect"", the station confirmed on Thursday.The station thanked the Brexit Party leader for his ""enormous contribution"".The Nigel Farage Show aired five days a week. On Wednesday, he told listeners he would be back as usual on Thursday, but the schedule has now been changed.""Nigel Farage's contract with LBC is up very shortly and, following discussions with him, Nigel is stepping down from LBC with immediate effect,"" LBC said.The station added: ""We thank Nigel for the enormous contribution he has made to LBC and wish him well.""The Nigel Farage Show had been on air for three years, and offered callers the chance to sound off about political topics.On Wednesday's show he signed off with the words: ""I'm back tomorrow at six,"" suggesting his contract situation accelerated in the last 24 hours.Apparently responding to the news, fellow presenter James O'Brien tweeted: ""We got our station back.""In 2018, he launched a podcast called Farage Against The Machine, which caused rock band Rage Against the Machine to send a cease and desist letter telling him to stop using the name. He refused, but LBC cancelled the series.As former Ukip leader, Farage was influential in gathering momentum for the campaign to leave the EU.This week the 56-year-old compared Black Lives Matters protestors to the Taliban, for demolishing statues of slaves traders.His departure comes after the station's owners Global Radio were criticised by some presenters over its response to the protests, following the death of George Floyd.A Global spokesperson told the BBC the company had taken ""several steps in recent days"" to improve its inclusivity, ""including the formation of a BAME committee"".They added: ""This said, we recognise there is still a lot of work to do.  Global is committed to recruiting the highest level of expertise and experience, regardless of gender, race, sexual orientation or disability.""Like a lot of businesses, we are honest enough to say that we are still finding our feet and learning fast.""",11 June 2020,entertainment
George Alagiah reveals his cancer has spread,"George Alagiah has revealed that his bowel cancer has spread to his lungs.The 64-year-old BBC newsreader and journalist  told The Times newspaper he was given the news by doctors in April, but only told his editor.However, he added that his condition is not at a ""chronic"" or ""terminal"" stage.Alagiah was first diagnosed with bowel cancer in 2014, and announced in 2017 that the disease had returned. It has now spread to his lungs, liver and lymph nodes, he said.""My doctors have never used the word 'chronic' or 'cure' about my cancer,"" he said.""They've never used the word 'terminal' either. I've always said to my oncologist, 'Tell me when I need to sort my affairs out', and he's not told me that, but what he did tell me is that the cancer is now in a third organ. It is in my lungs.""He added: ""I said to my doctor, 'You're going to have to do the worrying for me.' I don't want to fill my mind with worry. I just know that he's a clever guy, doing everything he can.""As a result of the cancer spreading, Alagiah said his chemotherapy has increased. In late March, the BBC newsreader revealed he had also contracted a mild case of coronavirus, but felt that dealing with cancer had helped him to get through it.""In some ways, I think that those of us living with cancer are stronger because we kind of know what it is like to go into something where the outcomes are uncertain,"" he told his BBC News colleague Sophie Raworth, at the time.Last month, his debut novel The Burning Land, about corruption and homicide in South Africa, was shortlisted for a Society of Authors award.",11 June 2020,entertainment
Stormzy pledges £10m over 10 years to fighting racial inequality,"Stormzy has pledged £10 million to UK organisations, charities and movements tackling racial inequality, justice reform and black empowerment.The grime star said he will make his donation over the next 10 years.""We have to fight against the odds of a racist system stacked against us and designed for us to fail from before we are even born,"" he said.He has also funded black British students at Cambridge University.Stormzy said he was making his £10m donation to fight racial inequality because ""the uncomfortable truth that our country continuously fails to recognise and admit, is that black people in the UK have been at a constant disadvantage in every aspect of life - simply due to the colour of our skin.""I'm lucky enough to be in the position I'm in and I've heard people often dismiss the idea of racism existing in Britain by saying 'If the country's so racist how have you become a success?!' and I reject that with this: I am not the UK's shining example of what supposedly happens when a black person works hard.""There are millions of us. We are not far and few. We have to fight against the odds of a racist system stacked against us and designed for us to fail from before we are even born.""Black people have been playing on an uneven field for far too long and this pledge is a continuation in the fight to finally try and even it."" In 2018, the London-born grime superstar beat Ed Sheeran to the main prizes in a surprise result at the Brit Awards. He closed the show by criticising the then-prime minster Theresa May's handling of the Grenfell tragedy.Later that year he announced the Stormzy Scholarship would pay tuition fees plus a maintenance grant for up to four years of an undergraduate Cambridge course for two students in 2018 and two in 2019.In 2018 he also announced a publishing deal with Penguin to help young writers become published authors. Known as #Merky Books, his imprint is publishing two to three books a year, starting with Stormzy's autobiography Rise Up.",11 June 2020,entertainment
Lady Antebellum: US band change name to Lady A over slave-era links,"Chart-topping US pop group Lady Antebellum have changed their name to Lady A because Antebellum has connotations with the slavery era.The Nashville trio have won five Grammys and had seven US top 10 albums, including three number ones.The word antebellum is used to refer to the period and architecture in the US South before the Civil War.They say they took the name from the architectural style, but are ""deeply sorry for the hurt this has caused"".In a statement on Twitter, they said their eyes had been opened to ""the injustices, inequality and biases black women and men have always faced"" and ""blindspots we didn't even know existed"".They originally took their name from the antebellum style of home after taking their first band photos in front of one such house almost 14 years ago, they said.""As musicians, it reminded us of all the music born in the South that influenced us,"" they wrote.""But we are regretful and embarrassed to say that we did not take into account the associations that weigh down this word referring to the period of history before the Civil War, which includes slavery.""We are deeply sorry for the hurt this has caused and for anyone who has felt unsafe, unseen or unvalued. Causing pain was never our hearts' intention, but it doesn't change the fact that indeed, it did just that."" The group are best known for their hit Need You Now, which reached number two in the US, and the top 20 in the UK, in 2010.They said they made the decision after ""personal reflection, band discussion, prayer and many honest conversations with some of our closest black friends and colleagues"".They added: ""We can make no excuse for our lateness to this realisation. What we can do is acknowledge it, turn from it and take action.""Their move comes after British record label One Little Indian, which has released music by Bjork, Sigur Ros and Paul McCartney's side-project The Fireman, changed its name to One Little Independent.Founder Derek Birkett said he'd made the decision after a fan explained why the name - which uses an outdated term for the indigenous people of the Americas - was ""offensive"".""The last few weeks have been a monumental learning curve,"" he wrote in a statement. ""Following the receipt of an eye-opening letter from a Crass fan that detailed precisely why the logo and label name are offensive, as well as the violent history of the terminology, I felt equally appalled and grateful to them for making me understand what must be changed.""He went on to explain that the label had been founded in the late 1970s, when his friends were inspired by the ""philosophies of the Indigenous People of the Americas"".""I was naive enough at the time of founding my label to think that the name and logo was reflective of my respect and appreciation of the culture,"" he said. ""I recognise now that both contribute to racism and should have been addressed a long, long time ago.""The name changes come as the music industry seeks to address its complicated history with race, in the wake of George Floyd's death and Black Lives Matter protests around the world.The term ""urban music"" has been scrapped by Republic Records, which is home to Drake and Ariana Grande, while the Grammys have announced they will stop using ""urban"" to describe music of black origin in their awards categories.",11 June 2020,entertainment
Nigel Farage leaves radio station LBC,"Nigel Farage is to leave his talk show on LBC radio with ""immediate effect"", the station confirmed on Thursday.The station thanked the Brexit Party leader for his ""enormous contribution"".The Nigel Farage Show aired five days a week. On Wednesday, he told listeners he would be back as usual on Thursday, but the schedule has now been changed.""Nigel Farage's contract with LBC is up very shortly and, following discussions with him, Nigel is stepping down from LBC with immediate effect,"" LBC said.The station added: ""We thank Nigel for the enormous contribution he has made to LBC and wish him well.""The Nigel Farage Show had been on air for three years, and offered callers the chance to sound off about political topics.On Wednesday's show he signed off with the words: ""I'm back tomorrow at six,"" suggesting his contract situation accelerated in the last 24 hours.Apparently responding to the news, fellow presenter James O'Brien tweeted: ""We got our station back.""In 2018, he launched a podcast called Farage Against The Machine, which caused rock band Rage Against the Machine to send a cease and desist letter telling him to stop using the name. He refused, but LBC cancelled the series.As former Ukip leader, Farage was influential in gathering momentum for the campaign to leave the EU.This week the 56-year-old compared Black Lives Matters protestors to the Taliban, for demolishing statues of slaves traders.His departure comes after the station's owners Global Radio were criticised by some presenters over its response to the protests, following the death of George Floyd.A Global spokesperson told the BBC the company had taken ""several steps in recent days"" to improve its inclusivity, ""including the formation of a BAME committee"".They added: ""This said, we recognise there is still a lot of work to do.  Global is committed to recruiting the highest level of expertise and experience, regardless of gender, race, sexual orientation or disability.""Like a lot of businesses, we are honest enough to say that we are still finding our feet and learning fast.""",11 June 2020,entertainment
George Alagiah reveals his cancer has spread,"George Alagiah has revealed that his bowel cancer has spread to his lungs.The 64-year-old BBC newsreader and journalist  told The Times newspaper he was given the news by doctors in April, but only told his editor.However, he added that his condition is not at a ""chronic"" or ""terminal"" stage.Alagiah was first diagnosed with bowel cancer in 2014, and announced in 2017 that the disease had returned. It has now spread to his lungs, liver and lymph nodes, he said.""My doctors have never used the word 'chronic' or 'cure' about my cancer,"" he said.""They've never used the word 'terminal' either. I've always said to my oncologist, 'Tell me when I need to sort my affairs out', and he's not told me that, but what he did tell me is that the cancer is now in a third organ. It is in my lungs.""He added: ""I said to my doctor, 'You're going to have to do the worrying for me.' I don't want to fill my mind with worry. I just know that he's a clever guy, doing everything he can.""As a result of the cancer spreading, Alagiah said his chemotherapy has increased. In late March, the BBC newsreader revealed he had also contracted a mild case of coronavirus, but felt that dealing with cancer had helped him to get through it.""In some ways, I think that those of us living with cancer are stronger because we kind of know what it is like to go into something where the outcomes are uncertain,"" he told his BBC News colleague Sophie Raworth, at the time.Last month, his debut novel The Burning Land, about corruption and homicide in South Africa, was shortlisted for a Society of Authors award.",11 June 2020,entertainment
Stormzy pledges £10m over 10 years to fighting racial inequality,"Stormzy has pledged £10 million to UK organisations, charities and movements tackling racial inequality, justice reform and black empowerment.The grime star said he will make his donation over the next 10 years.""We have to fight against the odds of a racist system stacked against us and designed for us to fail from before we are even born,"" he said.He has also funded black British students at Cambridge University.Stormzy said he was making his £10m donation to fight racial inequality because ""the uncomfortable truth that our country continuously fails to recognise and admit, is that black people in the UK have been at a constant disadvantage in every aspect of life - simply due to the colour of our skin.""I'm lucky enough to be in the position I'm in and I've heard people often dismiss the idea of racism existing in Britain by saying 'If the country's so racist how have you become a success?!' and I reject that with this: I am not the UK's shining example of what supposedly happens when a black person works hard.""There are millions of us. We are not far and few. We have to fight against the odds of a racist system stacked against us and designed for us to fail from before we are even born.""Black people have been playing on an uneven field for far too long and this pledge is a continuation in the fight to finally try and even it."" In 2018, the London-born grime superstar beat Ed Sheeran to the main prizes in a surprise result at the Brit Awards. He closed the show by criticising the then-prime minster Theresa May's handling of the Grenfell tragedy.Later that year he announced the Stormzy Scholarship would pay tuition fees plus a maintenance grant for up to four years of an undergraduate Cambridge course for two students in 2018 and two in 2019.In 2018 he also announced a publishing deal with Penguin to help young writers become published authors. Known as #Merky Books, his imprint is publishing two to three books a year, starting with Stormzy's autobiography Rise Up.",11 June 2020,entertainment
